person_age,loan_percent_income,loan_int_rate,person_home_ownership,person_income,loan_status
23,0.45,11.36,RENT,55000,1
23,0.45,15.65,RENT,55000,1
24,0.45,13.22,RENT,55164,1
26,0.45,12.87,RENT,56000,1
24,0.1,13.04,OWN,55000,0
23,0.12,17.58,MORTGAGE,55000,1
23,0.15,17.04,OWN,13920,1
24,0.42,10.99,RENT,60000,1
24,0.42,11.11,RENT,60000,1
26,0.46,14.83,RENT,54000,1
23,0.29,10.99,OWN,14000,1
24,0.06,12.69,RENT,55000,0
24,0.06,13.49,MORTGAGE,55000,0
21,0.08,14.65,MORTGAGE,55000,0
25,0.46,16.82,RENT,54000,1
23,0.42,12.73,RENT,60000,1
23,0.42,10.25,RENT,60000,1
21,0.42,10.99,RENT,60000,1
25,0.4,12.73,RENT,61959,1
22,0.44,14.96,RENT,56400,1
23,0.14,10.99,MORTGAGE,55000,0
21,0.13,13.99,MORTGAGE,55000,0
24,0.12,7.49,MORTGAGE,55000,0
26,0.07,14.79,MORTGAGE,55000,0
25,0.08,11.99,MORTGAGE,55000,0
24,0.05,8.49,RENT,55000,0
24,0.38,9.91,RENT,66000,1
22,0.38,13.06,RENT,66000,1
22,0.04,6.17,MORTGAGE,55000,0
26,0.03,11.86,MORTGAGE,55000,0
25,0.09,16.32,RENT,55000,0
25,0.06,10.38,MORTGAGE,55000,0
25,0.12,14.35,MORTGAGE,55000,0
24,0.1,10.99,MORTGAGE,55000,0
24,0.42,10.99,RENT,60000,1
21,0.21,10.99,OWN,14400,1
26,0.37,15.21,RENT,66996,1
23,0.37,7.9,RENT,67000,1
24,0.37,10.99,RENT,67000,1
24,0.37,14.09,RENT,68000,1
25,0.36,17.49,RENT,69000,1
25,0.06,11.48,MORTGAGE,55000,0
26,0.11,17.74,MORTGAGE,55000,1
26,0.01,13.92,MORTGAGE,55000,0
25,0.36,15.21,RENT,69996,1
22,0.28,10.99,OWN,14400,1
24,0.36,11.86,RENT,70000,1
24,0.42,7.49,OWN,14400,1
24,0.38,16.49,RENT,56100,1
25,0.38,15.33,RENT,66000,1
26,0.38,11.58,RENT,66000,1
25,0.37,5.79,OWN,14400,1
25,0.34,13.11,RENT,72612,1
23,0.34,10.36,RENT,74000,1
25,0.33,10.36,RENT,75000,1
24,0.11,10.99,RENT,55000,0
21,0.1,6.54,MORTGAGE,55000,0
25,0.05,12.53,MORTGAGE,55000,0
26,0.08,10.99,MORTGAGE,55000,0
22,0.05,10.99,MORTGAGE,55000,0
24,0.33,10.25,RENT,75000,1
22,0.35,15.95,RENT,71000,1
26,0.11,12.18,MORTGAGE,55000,0
23,0.13,11.83,OWN,55000,0
23,0.32,10.99,RENT,78000,1
23,0.32,10.62,RENT,78000,1
23,0.32,10.74,RENT,78504,1
25,0.05,10.25,OWN,55000,0
24,0.19,12.42,MORTGAGE,55000,0
25,0.08,15.27,RENT,55000,0
24,0.34,15.33,RENT,62050,1
23,0.31,15.21,RENT,79416,1
21,0.43,14.72,OWN,14400,1
24,0.31,15.7,RENT,79631,1
24,0.31,13.35,RENT,79632,1
21,0.1,10.99,MORTGAGE,14400,0
24,0.31,6.62,RENT,80000,1
26,0.31,13.61,RENT,80000,1
22,0.14,11.36,RENT,55000,0
26,0.03,7.68,OWN,55000,0
24,0.12,14.46,RENT,55000,0
23,0.01,11.83,OWN,55000,0
24,0.12,13.47,MORTGAGE,55000,1
24,0.11,11.49,MORTGAGE,55000,0
22,0.01,10.99,MORTGAGE,55000,0
25,0.08,6.03,MORTGAGE,55000,0
23,0.34,16.35,RENT,74004,1
26,0.34,10.99,RENT,74004,1
25,0.31,7.29,RENT,81000,1
23,0.31,11.36,RENT,81600,1
24,0.3,10.25,RENT,82000,0
24,0.3,11.12,RENT,83000,0
24,0.3,12.92,RENT,83000,0
24,0.1,18.64,RENT,55000,0
23,0.16,7.51,MORTGAGE,55000,0
23,0.28,16.7,OWN,14400,1
22,0.15,11.14,OWN,14400,0
22,0.3,18.3,RENT,84500,0
24,0.29,10.62,RENT,85000,0
24,0.08,11.99,MORTGAGE,55000,0
26,0.07,9.63,MORTGAGE,55000,0
25,0.06,18.25,MORTGAGE,55000,1
23,0.41,10.99,MORTGAGE,14664,1
24,0.29,14.84,RENT,87000,0
24,0.33,14.7,RENT,75000,1
23,0.33,16.02,RENT,76000,1
23,0.32,15.37,RENT,66215,1
25,0.28,10.99,RENT,90000,0
21,0.41,7.9,OWN,15000,1
26,0.14,10.99,OWN,55000,0
24,0.12,11.48,OWN,55000,0
25,0.11,14.26,OWN,55000,0
26,0.06,8.0,OWN,55000,0
25,0.06,11.26,MORTGAGE,55000,0
23,0.3,10.99,OWN,15000,1
23,0.32,16.32,RENT,78000,1
25,0.32,17.93,RENT,66300,1
23,0.28,11.36,RENT,90000,0
24,0.32,14.96,RENT,79000,1
24,0.27,13.43,RENT,91800,0
25,0.27,12.69,RENT,92000,0
24,0.27,12.73,RENT,92000,0
23,0.27,15.21,RENT,93600,0
23,0.12,12.68,MORTGAGE,15000,0
23,0.3,19.04,RENT,70550,1
25,0.3,15.95,RENT,83800,1
26,0.01,8.9,MORTGAGE,55000,0
25,0.05,7.9,MORTGAGE,55000,0
22,0.1,10.99,MORTGAGE,55000,0
23,0.12,11.99,MORTGAGE,55000,0
23,0.27,13.98,OWN,15000,1
23,0.31,10.99,OWN,15000,1
22,0.28,15.58,RENT,88000,1
25,0.28,10.99,RENT,74800,1
25,0.28,14.96,RENT,88000,1
25,0.12,15.31,OWN,15000,0
26,0.28,15.65,RENT,88000,1
25,0.25,9.33,RENT,100000,0
23,0.24,13.47,MORTGAGE,15000,1
24,0.24,10.36,RENT,102400,0
24,0.27,16.77,RENT,92000,1
23,0.27,14.59,RENT,93000,1
22,0.02,11.91,RENT,55000,0
23,0.04,8.38,MORTGAGE,55000,0
25,0.05,10.59,RENT,55000,0
25,0.05,14.27,MORTGAGE,55000,0
26,0.07,12.53,RENT,55000,0
25,0.15,16.0,MORTGAGE,55000,1
26,0.06,11.71,MORTGAGE,55000,0
21,0.21,11.54,OWN,15000,1
25,0.26,15.68,RENT,96000,1
21,0.1,10.59,MORTGAGE,15120,0
24,0.26,12.61,RENT,97908,1
26,0.23,10.99,RENT,110000,0
23,0.18,8.49,MORTGAGE,15204,1
25,0.19,17.27,RENT,55000,1
24,0.1,8.9,RENT,55000,0
25,0.06,11.11,MORTGAGE,55000,0
24,0.16,14.59,RENT,55000,1
26,0.08,12.42,RENT,55000,0
24,0.26,10.99,RENT,83300,1
24,0.23,15.7,RENT,110000,0
22,0.16,12.53,OWN,15360,1
25,0.03,16.49,RENT,55000,1
25,0.12,7.49,MORTGAGE,55000,0
22,0.25,14.96,RENT,100580,1
25,0.22,12.73,RENT,55000,0
24,0.21,10.65,RENT,55000,0
25,0.21,10.74,RENT,55000,0
23,0.21,9.99,RENT,55000,0
24,0.23,15.33,RENT,91800,1
21,0.06,7.29,OWN,15600,0
26,0.23,15.05,RENT,108000,1
26,0.19,10.75,RENT,55000,0
23,0.19,16.02,RENT,55000,0
23,0.19,11.49,RENT,55000,0
25,0.12,12.53,OWN,55000,0
26,0.07,13.57,MORTGAGE,55000,0
22,0.08,11.14,RENT,55000,0
26,0.14,12.87,RENT,55000,0
23,0.12,11.58,RENT,55000,0
24,0.01,11.12,RENT,55000,0
25,0.21,10.65,MORTGAGE,55000,0
24,0.19,10.37,RENT,55000,0
24,0.21,6.39,OWN,15600,1
24,0.19,16.07,RENT,55000,0
25,0.19,10.62,RENT,55000,0
25,0.21,18.09,OWN,15600,1
25,0.19,11.36,RENT,55000,0
26,0.18,12.53,RENT,55000,0
25,0.17,9.99,RENT,55000,0
23,0.17,10.36,RENT,55000,0
23,0.06,5.99,MORTGAGE,55000,0
22,0.16,15.62,MORTGAGE,55000,1
24,0.12,10.37,MORTGAGE,55000,0
25,0.15,19.74,MORTGAGE,55000,0
21,0.12,6.91,MORTGAGE,55000,0
23,0.38,7.9,OWN,16000,1
23,0.14,13.06,MORTGAGE,16000,0
23,0.13,6.39,OWN,16000,0
23,0.17,14.93,RENT,55000,1
23,0.35,12.84,MORTGAGE,16000,1
24,0.23,17.14,OWN,16020,1
22,0.34,7.14,MORTGAGE,16094,1
25,0.14,8.9,RENT,55000,0
22,0.12,12.42,OWN,16200,0
24,0.14,12.68,RENT,55000,0
25,0.15,11.03,RENT,55000,0
26,0.19,7.9,RENT,55000,0
22,0.22,10.65,MORTGAGE,55000,0
25,0.11,11.86,RENT,55000,0
25,0.3,8.94,OWN,16400,1
23,0.27,9.63,OWN,16500,1
25,0.5,14.22,RENT,49500,1
23,0.41,9.33,RENT,60000,1
24,0.29,13.85,RENT,84200,0
22,0.12,10.65,MORTGAGE,16800,0
24,0.27,11.46,RENT,92000,0
23,0.22,7.66,MORTGAGE,55000,0
24,0.07,16.77,MORTGAGE,55000,0
25,0.07,9.63,MORTGAGE,55000,0
26,0.16,12.23,RENT,55000,0
25,0.07,14.09,MORTGAGE,55000,1
25,0.45,13.98,RENT,54000,1
23,0.39,10.62,RENT,62500,1
24,0.23,10.99,MORTGAGE,16800,1
25,0.35,17.56,RENT,68400,1
26,0.37,14.96,RENT,56045,1
22,0.33,15.65,RENT,74000,1
24,0.31,15.7,RENT,65453,1
24,0.27,12.53,RENT,89908,0
26,0.31,17.56,RENT,78000,1
23,0.24,12.87,RENT,100000,0
23,0.24,15.7,RENT,103000,0
25,0.06,10.99,MORTGAGE,55000,0
25,0.09,11.14,OWN,55000,0
24,0.13,16.0,MORTGAGE,55000,0
23,0.16,15.65,MORTGAGE,55000,0
26,0.09,10.99,MORTGAGE,55000,0
21,0.1,15.31,MORTGAGE,55000,0
25,0.13,13.47,MORTGAGE,55000,0
22,0.28,13.85,MORTGAGE,16800,1
25,0.22,10.99,RENT,55000,0
21,0.36,10.39,MORTGAGE,16800,1
25,0.21,11.36,RENT,55000,0
23,0.17,11.83,RENT,55000,0
23,0.08,12.53,RENT,55000,0
22,0.22,14.96,RENT,108000,1
22,0.15,13.85,RENT,43000,1
23,0.15,11.58,RENT,47004,1
24,0.5,16.29,RENT,48000,1
26,0.5,10.99,RENT,48000,1
21,0.15,16.29,RENT,44964,1
25,0.46,10.74,RENT,52000,1
22,0.13,15.27,MORTGAGE,17352,0
24,0.15,17.8,RENT,47000,1
22,0.06,11.36,MORTGAGE,17400,0
22,0.49,17.56,RENT,49000,1
26,0.4,7.9,RENT,60000,1
25,0.4,10.99,RENT,60000,1
22,0.4,7.29,RENT,60000,1
21,0.4,10.75,RENT,60000,1
26,0.39,7.9,RENT,62004,1
22,0.38,14.84,RENT,62400,1
26,0.37,10.99,RENT,65000,1
22,0.28,10.99,MORTGAGE,17760,1
23,0.41,19.69,RENT,59000,1
23,0.36,10.99,RENT,66000,1
24,0.4,14.96,RENT,60000,1
25,0.36,6.99,RENT,66143,1
22,0.39,16.45,RENT,62250,1
24,0.34,10.99,RENT,70000,1
23,0.32,10.99,RENT,74000,1
22,0.17,7.9,OWN,18000,1
22,0.32,12.69,RENT,75000,1
24,0.32,10.37,RENT,75000,1
24,0.32,10.99,RENT,75000,1
26,0.35,15.83,RENT,69000,1
23,0.31,13.92,RENT,78000,1
22,0.11,11.49,OWN,18000,0
24,0.3,10.25,RENT,80000,0
22,0.19,7.49,OWN,18000,1
23,0.22,5.99,OWN,18000,1
23,0.32,12.92,RENT,74700,1
26,0.27,11.58,RENT,88596,0
25,0.25,8.9,RENT,95000,0
22,0.29,19.69,RENT,83000,1
25,0.25,6.54,RENT,95000,0
21,0.27,14.54,OWN,18000,1
21,0.28,11.11,OWN,18000,1
26,0.24,12.73,RENT,100000,0
24,0.22,15.62,RENT,110000,0
24,0.35,6.54,OWN,18000,1
22,0.24,10.99,RENT,98000,1
26,0.23,20.03,RENT,103872,1
22,0.2,9.91,RENT,55000,0
24,0.2,12.69,RENT,55000,0
26,0.22,20.16,RENT,108000,1
24,0.19,16.49,RENT,55000,0
23,0.14,15.95,MORTGAGE,18000,1
24,0.18,11.49,RENT,55000,0
25,0.18,10.99,RENT,55000,0
24,0.18,13.79,RENT,55000,0
23,0.18,20.03,RENT,55000,1
23,0.16,7.49,RENT,55000,0
23,0.17,16.0,RENT,55000,1
24,0.15,7.88,OWN,18000,1
21,0.35,10.62,OWN,18000,1
26,0.15,10.99,RENT,55000,0
26,0.16,18.3,RENT,55000,1
26,0.14,10.99,RENT,55000,0
21,0.14,11.36,OWN,18000,0
24,0.15,10.99,RENT,43896,1
23,0.2,13.47,RENT,55000,0
24,0.43,11.89,RENT,54996,1
24,0.15,12.18,MORTGAGE,18000,1
25,0.23,13.49,RENT,102000,0
23,0.31,14.5,RENT,75000,1
22,0.22,10.99,OWN,18000,1
22,0.3,15.31,OWN,18000,1
25,0.22,10.99,MORTGAGE,18000,1
21,0.19,10.99,OWN,18000,1
22,0.35,7.49,RENT,66960,1
22,0.15,10.99,RENT,43385,1
25,0.41,10.99,RENT,56544,1
23,0.38,12.18,RENT,60000,1
24,0.07,11.34,MORTGAGE,18000,0
25,0.36,9.91,RENT,63208,1
24,0.35,11.99,RENT,65000,1
23,0.34,9.62,RENT,68000,1
22,0.17,9.96,OWN,18000,1
25,0.29,10.99,RENT,80000,0
24,0.26,14.54,RENT,88000,1
22,0.39,11.36,RENT,58600,1
23,0.32,14.27,RENT,70000,1
24,0.16,11.99,OWN,18287,1
26,0.32,18.99,RENT,69846,1
24,0.31,16.7,RENT,73000,1
24,0.27,9.32,MORTGAGE,18500,1
23,0.15,12.69,RENT,35000,1
25,0.15,13.11,RENT,43000,1
25,0.42,10.74,RENT,52000,1
21,0.22,14.11,MORTGAGE,18701,1
22,0.39,9.63,RENT,57000,1
25,0.38,14.65,RENT,58000,1
23,0.37,10.25,RENT,60000,1
24,0.37,14.26,RENT,60000,1
25,0.16,9.91,MORTGAGE,18840,1
26,0.39,17.19,RENT,56000,1
22,0.31,11.36,RENT,70000,1
22,0.33,10.99,RENT,66000,1
23,0.3,10.59,RENT,74064,0
24,0.29,9.25,RENT,76597,0
22,0.19,8.49,OWN,19000,1
26,0.29,6.54,RENT,77000,0
21,0.32,8.49,OWN,19000,1
24,0.28,10.99,RENT,80000,0
26,0.27,12.69,RENT,82600,0
24,0.39,13.85,OWN,19000,1
25,0.21,7.4,OWN,19000,1
23,0.26,11.71,RENT,84000,0
25,0.28,11.48,RENT,77650,1
25,0.27,17.51,RENT,82000,1
21,0.18,14.61,MORTGAGE,19012,1
23,0.22,7.88,RENT,99996,0
23,0.2,10.99,RENT,110000,0
22,0.26,11.71,MORTGAGE,19200,1
25,0.38,11.99,RENT,57000,1
24,0.4,13.49,RENT,54000,1
23,0.39,21.21,RENT,56000,1
26,0.34,14.35,RENT,63000,1
22,0.26,13.61,RENT,82000,0
22,0.28,11.26,RENT,78000,1
22,0.13,10.59,OWN,19200,0
24,0.19,7.9,RENT,55000,0
24,0.36,5.99,MORTGAGE,19200,1
25,0.16,11.99,OWN,19200,1
24,0.36,16.89,RENT,59000,1
24,0.31,9.99,RENT,70000,1
24,0.19,15.33,RENT,55000,0
25,0.36,7.29,RENT,60000,1
22,0.15,12.42,RENT,31000,1
25,0.45,10.99,RENT,47052,1
25,0.42,6.91,RENT,51060,1
22,0.26,14.17,MORTGAGE,19200,1
22,0.4,10.25,RENT,53000,1
26,0.48,10.99,OWN,19200,1
24,0.38,15.95,RENT,56000,1
24,0.33,15.95,RENT,65000,1
21,0.15,12.53,RENT,35000,1
22,0.07,14.91,MORTGAGE,19200,1
23,0.16,10.99,MORTGAGE,19200,1
26,0.15,6.54,RENT,40000,1
25,0.05,10.99,OWN,19200,0
26,0.5,17.26,RENT,42000,1
23,0.33,11.36,RENT,63000,1
26,0.21,7.51,MORTGAGE,19200,1
22,0.36,10.71,RENT,59000,1
22,0.3,13.98,RENT,70500,0
26,0.32,14.09,RENT,65219,1
22,0.28,10.0,RENT,75000,0
22,0.26,15.33,MORTGAGE,19200,1
25,0.29,16.32,RENT,62047,1
24,0.27,7.9,RENT,79000,0
23,0.26,11.99,RENT,80000,0
24,0.25,10.75,RENT,84000,0
26,0.25,13.92,RENT,85000,0
22,0.23,9.91,RENT,93000,0
26,0.26,16.95,RENT,81000,1
26,0.22,7.9,RENT,97000,0
26,0.22,10.99,RENT,97000,0
25,0.21,16.49,RENT,100000,1
26,0.39,11.97,OTHER,19200,1
21,0.32,6.17,MORTGAGE,19253,1
26,0.17,8.9,RENT,55000,0
25,0.17,12.99,RENT,55000,0
23,0.25,12.69,RENT,82000,0
21,0.15,9.64,MORTGAGE,19500,1
26,0.41,7.49,RENT,50000,1
23,0.29,13.16,RENT,70000,0
22,0.11,8.38,OWN,19800,0
26,0.25,10.25,RENT,80004,0
23,0.38,7.49,RENT,54000,1
26,0.15,9.76,RENT,26000,1
24,0.15,10.99,RENT,33000,1
23,0.25,11.71,OWN,20000,0
22,0.46,10.65,OWN,20000,0
24,0.15,12.53,RENT,35364,1
25,0.15,14.59,RENT,38000,1
23,0.15,12.61,RENT,32000,1
25,0.15,13.11,RENT,38004,1
23,0.32,10.65,MORTGAGE,20000,0
25,0.15,11.22,RENT,38556,1
23,0.15,16.0,RENT,32900,1
25,0.15,8.88,RENT,34000,1
24,0.5,12.53,RENT,40000,1
21,0.15,10.99,RENT,36000,1
26,0.24,5.99,MORTGAGE,20000,0
25,0.48,13.47,RENT,42000,1
22,0.47,6.99,RENT,42224,1
25,0.28,15.99,OWN,20000,0
23,0.18,10.99,MORTGAGE,20000,0
22,0.15,16.69,RENT,37212,1
25,0.15,11.11,RENT,38000,1
22,0.44,7.9,RENT,45000,1
23,0.44,10.25,RENT,45000,1
24,0.44,10.99,RENT,45000,1
23,0.06,7.49,OWN,20000,0
22,0.44,13.92,RENT,45000,1
24,0.15,14.74,RENT,39000,1
24,0.43,10.62,RENT,46500,1
22,0.42,10.65,RENT,48000,1
22,0.48,12.99,RENT,42000,1
22,0.41,11.36,RENT,48500,1
22,0.38,5.79,OWN,20000,0
23,0.4,6.54,RENT,49400,1
25,0.2,5.79,MORTGAGE,20000,0
25,0.4,7.49,RENT,50000,1
25,0.4,13.43,RENT,50000,1
22,0.4,13.22,RENT,50000,1
22,0.25,14.72,OWN,20000,0
22,0.45,15.68,RENT,44000,1
24,0.39,10.99,RENT,50866,1
25,0.39,11.48,RENT,50950,1
24,0.39,10.38,RENT,51000,1
22,0.39,12.53,RENT,51000,1
22,0.39,13.47,RENT,51000,1
24,0.39,12.21,RENT,51500,1
25,0.38,10.99,RENT,51996,1
25,0.38,11.36,RENT,52000,1
22,0.43,16.0,RENT,46000,1
26,0.07,7.74,MORTGAGE,20000,0
24,0.38,15.65,RENT,52000,1
25,0.43,11.78,RENT,46000,1
24,0.38,10.99,RENT,52559,1
22,0.43,16.77,RENT,47000,1
22,0.37,9.91,RENT,54000,1
23,0.42,15.65,RENT,48000,1
23,0.42,14.96,RENT,48000,1
23,0.37,11.83,RENT,54000,1
24,0.41,11.66,RENT,48912,1
26,0.36,12.18,RENT,54996,1
24,0.36,6.91,RENT,55000,1
25,0.36,6.91,RENT,55000,1
26,0.41,19.79,RENT,49000,1
25,0.36,9.88,RENT,55000,1
22,0.15,9.76,MORTGAGE,20000,0
23,0.36,12.53,RENT,55000,1
25,0.36,10.99,RENT,55200,1
23,0.36,6.99,MORTGAGE,20004,0
23,0.35,16.89,RENT,57000,1
22,0.39,17.49,RENT,51012,1
23,0.12,16.82,MORTGAGE,20004,0
26,0.18,10.99,MORTGAGE,20004,0
22,0.34,13.11,RENT,58000,1
23,0.34,7.66,RENT,58800,1
26,0.34,6.17,RENT,59000,1
26,0.38,16.35,RENT,53000,1
23,0.33,7.9,RENT,60000,1
24,0.37,16.49,RENT,54000,1
21,0.18,10.99,OWN,20245,0
26,0.35,8.0,MORTGAGE,20280,0
24,0.33,10.99,RENT,60000,1
24,0.38,6.91,OWN,20352,0
25,0.37,8.88,RENT,54000,1
24,0.33,10.99,RENT,60000,1
23,0.37,14.84,RENT,54000,1
23,0.37,11.12,RENT,54000,1
22,0.33,7.88,RENT,60000,1
25,0.33,10.99,RENT,60000,1
22,0.29,15.99,MORTGAGE,20400,0
24,0.27,10.99,MORTGAGE,20400,0
25,0.33,10.99,RENT,60000,1
25,0.37,15.65,RENT,54000,1
24,0.37,17.04,RENT,54000,1
23,0.33,12.21,RENT,60000,1
21,0.06,15.23,OWN,20400,0
25,0.37,14.11,RENT,54000,1
24,0.33,11.14,RENT,60000,1
21,0.12,11.49,OWN,20400,0
24,0.33,13.87,RENT,60000,1
26,0.33,10.08,RENT,60000,1
23,0.37,16.7,RENT,54504,1
24,0.36,18.64,RENT,55000,1
24,0.33,12.18,RENT,61000,1
22,0.19,10.99,OWN,20400,0
25,0.32,6.54,RENT,62000,1
24,0.36,14.61,RENT,56000,1
21,0.36,17.39,RENT,56000,1
24,0.32,11.12,RENT,62400,1
25,0.32,11.48,RENT,62400,1
25,0.32,12.42,RENT,63000,1
26,0.34,10.25,RENT,58000,1
23,0.31,10.65,RENT,65000,1
24,0.24,16.29,OWN,20800,0
23,0.31,10.37,RENT,65000,1
23,0.31,11.49,RENT,65000,1
24,0.48,10.59,OWN,20856,0
25,0.26,13.49,OWN,20868,0
26,0.34,10.99,RENT,59000,1
23,0.34,12.29,RENT,59000,1
21,0.17,17.27,MORTGAGE,21000,1
26,0.31,11.99,RENT,65004,1
25,0.34,14.84,RENT,59004,1
23,0.34,10.83,RENT,59004,1
23,0.31,13.22,RENT,65500,1
22,0.3,12.18,RENT,66996,0
23,0.3,11.11,RENT,67000,0
24,0.3,13.48,RENT,67000,0
